nombre,vector1,vector2,vector3,vector4,vector5,vector6,vector7,vector8,vector9,vector10,nombre2
APOM10:APOM10,-0.0818,-0.1643,-0.0868,0.0541,0.0239,0.0405,0.0108,-0.0356,-0.0724,0.056,APOM10
DZ005:DZ005,-0.0732,-0.0929,0.011,-0.0138,-0.0427,-0.0519,-0.0239,-0.0388,-0.004,-0.0272,DZ005
CGM077:CGM077,-0.078,0.2816,-0.2745,-0.1473,0.174,0.0474,-0.1261,-0.0192,0.0246,0.0474,CGM077
CGM066:CGM066,-0.061,0.1113,0.0046,0.0848,-0.0998,-0.0919,0.0052,0.1085,0.0116,0.0532,CGM066
APOM11:APOM11,-0.0948,-0.1746,-0.1491,0.0955,0.1611,0.0452,-0.0286,-0.0249,-0.0128,0.0734,Mayas
APOM21:APOM21,-0.0889,-0.2453,-0.152,0.1001,0.2221,0.1478,0.1064,-0.0798,-0.2321,-0.5087,Mayas
APOM23:APOM23,-0.0919,-0.1438,-0.1206,0.0061,0.0383,-0.0593,0.0776,0.0006,-0.1544,0.0692,Mayas
APOM3:APOM3,-0.0937,-0.2078,-0.1617,0.0418,0.2262,0.0204,0.1424,-0.1754,-0.0848,-0.2574,Mayas
APOM44:APOM44,-0.0985,-0.2302,-0.0742,0.1305,0.0925,0.3283,0.1314,0.1775,-0.2179,0.2634,Mayas
DZ002:DZ002,-0.0792,-0.2087,-0.07,-0.0351,0.0635,0.1577,0.043,0.2253,0.0499,0.3352,Mayas
DZ003:DZ003,-0.0937,-0.3,-0.0204,-0.7866,-0.2108,-0.2332,0.2056,-0.0727,-0.0173,0.0635,Mayas
DZ006:DZ006,-0.0921,-0.2016,-0.1136,0.0517,-0.5615,0.3407,-0.5286,-0.183,0.0669,-0.1258,Mayas
DZ007:DZ007,-0.0943,-0.2697,-0.2029,0.2126,0.0852,-0.4851,-0.1799,0.2989,0.5579,-0.1172,Mayas
DZ018:DZ018,-0.09,-0.1894,-0.0686,-0.0321,0.0566,0.0212,-0.1912,0.0109,-0.0108,0.1541,Mayas
CGM067:CGM067,-0.078,0.1944,-0.1032,-0.0148,-0.3321,-0.0853,0.1537,0.4784,-0.3057,-0.2789,Zapotecos
CGM065:CGM065,-0.0675,0.0923,-0.0536,0.0829,-0.1307,-0.0145,0.0524,-0.053,-0.0186,-0.072,Zapotecos
CGM063:CGM063,-0.0609,0.1494,-0.0463,0.0934,-0.0255,0.0989,0.1363,0.0884,-0.0468,0.0095,Zapotecos
CGM096:CGM096,-0.0657,0.1025,-0.0254,0.0485,-0.0666,0.0025,0.1045,-0.007,0.1081,0.0875,Zapotecos
CGM009:CGM009,-0.0747,0.19,-0.1051,-0.1536,0.1578,0.0201,0.0065,-0.1846,0.1593,-0.1409,Zapotecos
CGM084:CGM084,-0.0579,0.08,-0.0253,0.0876,-0.1168,0.0014,0.0512,-0.0074,0.0411,0.0579,Zapotecos
CGM051:CGM051,-0.061,0.0655,-0.0483,0.0118,-0.1397,-0.043,-0.029,-0.0295,0.0528,0.0164,Zapotecos
CGM047:CGM047,-0.0833,0.1598,-0.088,0.1132,-0.159,-0.0268,0.1969,0.0965,0.0788,-0.0737,Zapotecos
